Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
13.64,No Sugar,0.071,Household,157.1,2009,Medium,Tier 2,Supermarket Type2,3882.69
10.03,Low Sugar,0.016,Frozen Foods,126.66,1987,High,Tier 2,Supermarket Type1,2444.17
12.26,Low Sugar,0.14,Snack Foods,138.27,2009,Medium,Tier 2,Supermarket Type2,3185.13
10.28,Low Sugar,0.143,Canned,147.44,2009,Medium,Tier 2,Supermarket Type2,2926.08
16.38,Low Sugar,0.082,Baking Goods,205.16,1999,Medium,Tier 1,Departmental Store,5485.4
13.37,Low Sugar,0.113,Baking Goods,137.21,2009,Medium,Tier 2,Supermarket Type2,3414.5
11.8,reg,0.029,Breads,144.64,2009,Medium,Tier 2,Supermarket Type2,3212.19
9.61,Low Sugar,0.026,Snack Foods,161.79,2009,Medium,Tier 2,Supermarket Type2,3920.35
11.98,Low Sugar,0.086,Fruits and Vegetables,125.08,2009,Medium,Tier 2,Supermarket Type2,2851.97
11.5,Low Sugar,0.039,Dairy,159.66,2009,Medium,Tier 2,Supermarket Type2,3451.32
12.66,Regular,0.153,Canned,151.92,2009,Medium,Tier 2,Supermarket Type2,3554.37
9.18,Regular,0.171,Dairy,115.82,1998,Small,Tier 3,Food Mart,2030.87
13.61,No Sugar,0.03,Household,146.14,2009,Medium,Tier 2,Supermarket Type2,3652.07
13.18,No Sugar,0.059,Health and Hygiene,178.63,1999,Medium,Tier 1,Departmental Store,4219.6
13.18,Low Sugar,0.056,Fruits and Vegetables,164.71,2009,Medium,Tier 2,Supermarket Type2,3934.13
10.56,Regular,0.012,Baking Goods,131.37,2009,Medium,Tier 2,Supermarket Type2,2660.86
15.45,No Sugar,0.036,Household,166.22,1999,Medium,Tier 1,Departmental Store,4476.99
15.4,Low Sugar,0.128,Fruits and Vegetables,177.14,1987,High,Tier 2,Supermarket Type1,4690.32
13.89,Low Sugar,0.047,Meat,153.26,2009,Medium,Tier 2,Supermarket Type2,3859.63
13.31,Low Sugar,0.1,Snack Foods,160.34,2009,Medium,Tier 2,Supermarket Type2,3874.03
